STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: YES,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"12130 - NIVERVILLE","3","54","299",18,"70"
"12131 - NORTH BLENHEIM","1","13","80",16,"63"
"12134 - NORTHVILLE","19","343","1,421",24,"94"
"12136 - OLD CHATHAM","5","74","366",20,"79"
"12137 - PATTERSONVILLE","9","144","681",21,"82"
"12138 - PETERSBURG","21","377","1,406",27,"104"
"12139 - PISECO","2","19","50",38,"148"
"12140 - POESTENKILL","7","159","626",25,"99"
"12143 - RAVENA","31","711","2,124",34,"130"
"12144 - RENSSELAER","110","2,161","8,443",26,"100"
"12147 - RENSSELAERVILLE","5","66","362",18,"71"
"12148 - REXFORD","19","453","1,888",24,"93"
"12149 - RICHMONDVILLE","13","217","806",27,"105"
"12150 - ROTTERDAM JUNCTION","7","135","353",38,"149"
"12151 - ROUND LAKE","6","134","488",28,"107"
"12153 - SAND LAKE","3","47","341",14,"54"
"12154 - SCHAGHTICOKE","15","265","1,051",25,"98"
"12156 - SCHODACK LANDING","5","94","384",25,"95"
"12157 - SCHOHARIE","26","462","1,711",27,"105"
"12158 - SELKIRK","30","592","2,788",21,"83"
"12159 - SLINGERLANDS","42","743","3,034",25,"95"
"12160 - SLOANSVILLE","3","55","420",13,"51"
"12164 - SPECULATOR","1","11","338",3,"13"
"12165 - SPENCERTOWN","2","24","138",17,"68"
"12166 - SPRAKERS","7","138","680",20,"79"
"12167 - STAMFORD","34","201","911",22,"86"
"12168 - STEPHENTOWN","9","183","733",25,"97"
"12169 - STEPHENTOWN","5","101","198",51,"198"
"12170 - STILLWATER","21","432","1,825",24,"92"
"12173 - STUYVESANT","9","162","767",21,"82"
"12175 - SUMMIT","4","61","393",16,"60"
"12176 - SURPRISE","1","20","220",9,"35"
"12180 - TROY","331","6,536","23,692",28,"107"
"12182 - TROY","93","1,654","6,550",25,"98"
"12183 - TROY","17","299","1,115",27,"104"
"12184 - VALATIE","28","510","2,643",19,"75"
"12185 - VALLEY FALLS","8","139","690",20,"78"
"12186 - VOORHEESVILLE","25","443","2,365",19,"73"
"12187 - WARNERVILLE","5","103","282",37,"142"
"12188 - WATERFORD","50","1,112","4,793",23,"90"
"12189 - WATERVLIET","108","2,119","7,853",27,"105"
"12190 - WELLS","5","106","298",36,"138"
"12192 - WEST COXSACKIE","12","191","892",21,"83"
"12193 - WESTERLO","7","142","769",19,"72"
"12194 - WEST FULTON","4","70","146",48,"187"
"12196 - WEST SAND LAKE","6","118","1,119",11,"41"
"12198 - WYNANTSKILL","41","754","3,024",25,"97"
"12202 - ALBANY","68","1,282","4,415",29,"113"
"12203 - ALBANY","198","4,293","16,174",27,"103"
"12204 - ALBANY","34","689","3,285",21,"82"
"12205 - ALBANY","178","3,550","11,768",30,"117"
"12206 - ALBANY","101","2,019","7,379",27,"106"
"12207 - ALBANY","9","211","764",28,"107"
"12208 - ALBANY","131","2,614","10,072",26,"101"
"12209 - ALBANY","68","1,412","4,560",31,"120"
"12210 - ALBANY","71","1,587","4,793",33,"129"
"12211 - ALBANY","44","972","4,842",20,"78"
"12302 - SCHENECTADY","131","2,606","11,393",23,"89"
"12303 - SCHENECTADY","153","2,776","12,276",23,"88"
"12304 - SCHENECTADY","118","2,436","9,083",27,"104"
"12305 - SCHENECTADY","42","875","3,008",29,"113"
"12306 - SCHENECTADY","128","2,466","10,954",23,"88"
"12307 - SCHENECTADY","56","1,149","3,306",35,"135"
"12308 - SCHENECTADY","87","1,708","5,952",29,"112"
"12309 - SCHENECTADY","173","3,059","11,326",27,"105"
"12405 - ACRA","2","44","211",21,"81"
"12407 - ASHLAND","1","20","146",14,"53"
"12413 - CAIRO","11","177","1,243",14,"55"
"12414 - CATSKILL","57","1,166","4,723",25,"96"
"12418 - CORNWALLVILLE","4","73","171",43,"166"
"12422 - DURHAM","2","47","183",26,"100"
"12423 - EAST DURHAM","2","46","526",9,"34"
"12424 - EAST JEWETT","1","19","169",11,"44"
"12427 - ELKA PARK","4","85","365",23,"91"
"12430 - FLEISCHMANNS","20","104","597",17,"68"
"12431 - FREEHOLD","5","97","496",20,"76"
"12439 - HENSONVILLE","4","76","203",37,"146"
"12442 - HUNTER","2","34","259",13,"51"
"12444 - JEWETT","0","0","138",0,"0"
