yesMeatAlt,noMeatAlt,income,gender,age,race
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,"BLACK, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"BLACK, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"BLACK, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"BLACK, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"ASIAN, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"ASIAN, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"ASIAN, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"ASIAN, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"ASIAN, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,OTHER NON-HISPANIC  
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 55 - 64 ,"WHITE, NON-HISPANIC  "
