STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: NO,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"12194 - WEST FULTON","4","76","146",52,"71"
"12196 - WEST SAND LAKE","52","1,001","1,119",90,"122"
"12198 - WYNANTSKILL","121","2,255","3,024",75,"102"
"12202 - ALBANY","170","3,105","4,415",70,"96"
"12203 - ALBANY","552","11,717","16,174",72,"99"
"12204 - ALBANY","129","2,577","3,285",78,"107"
"12205 - ALBANY","412","7,960","11,768",68,"92"
"12206 - ALBANY","271","5,360","7,379",73,"99"
"12207 - ALBANY","26","553","764",72,"99"
"12208 - ALBANY","386","7,356","10,072",73,"100"
"12209 - ALBANY","159","3,058","4,560",67,"92"
"12210 - ALBANY","158","3,206","4,793",67,"91"
"12211 - ALBANY","178","3,828","4,842",79,"108"
"12302 - SCHENECTADY","441","8,656","11,393",76,"104"
"12303 - SCHENECTADY","513","9,352","12,276",76,"104"
"12304 - SCHENECTADY","337","6,538","9,083",72,"98"
"12305 - SCHENECTADY","101","2,104","3,008",70,"95"
"12306 - SCHENECTADY","450","8,320","10,954",76,"104"
"12307 - SCHENECTADY","114","2,157","3,306",65,"89"
"12308 - SCHENECTADY","218","4,172","5,952",70,"96"
"12309 - SCHENECTADY","460","8,157","11,326",72,"98"
"12405 - ACRA","8","167","211",79,"108"
"12407 - ASHLAND","7","126","146",86,"118"
"12413 - CAIRO","57","1,022","1,243",82,"112"
"12414 - CATSKILL","183","3,557","4,723",75,"103"
"12418 - CORNWALLVILLE","5","98","171",57,"78"
"12422 - DURHAM","7","136","183",74,"101"
"12423 - EAST DURHAM","23","455","526",87,"118"
"12424 - EAST JEWETT","8","150","169",89,"121"
"12427 - ELKA PARK","14","280","365",77,"105"
"12430 - FLEISCHMANNS","73","493","597",83,"113"
"12431 - FREEHOLD","22","384","496",77,"106"
"12439 - HENSONVILLE","7","127","203",63,"85"
"12442 - HUNTER","13","225","259",87,"119"
"12444 - JEWETT","8","138","138",100,"137"
"12450 - LANESVILLE","15","229","248",92,"126"
"12451 - LEEDS","27","525","738",71,"97"
"12454 - MAPLECREST","7","116","148",78,"107"
"12460 - OAK HILL","2","33","33",100,"137"
"12463 - PALENVILLE","23","427","618",69,"94"
"12468 - PRATTSVILLE","38","513","591",87,"119"
"12469 - PRESTON HOLLOW","8","137","243",56,"77"
"12470 - PURLING","10","182","278",66,"89"
"12473 - ROUND TOP","12","239","345",69,"95"
"12480 - SHANDAKEN","4","502","502",100,"137"
"12482 - SOUTH CAIRO","17","331","406",82,"111"
"12485 - TANNERSVILLE","14","255","382",67,"91"
"12492 - WEST KILL","6","103","184",56,"76"
"12496 - WINDHAM","27","448","598",75,"102"
"12502 - ANCRAM","37","524","675",78,"106"
"12503 - ANCRAMDALE","10","136","201",68,"92"
"12513 - CLAVERACK","15","267","438",61,"83"
"12516 - COPAKE","31","552","738",75,"102"
"12517 - COPAKE FALLS","8","129","172",75,"102"
"12521 - CRARYVILLE","25","415","669",62,"85"
"12523 - ELIZAVILLE","33","507","732",69,"95"
"12526 - GERMANTOWN","63","995","1,455",68,"93"
"12529 - HILLSDALE","47","718","1,031",70,"95"
"12534 - HUDSON","342","5,983","8,082",74,"101"
"12546 - MILLERTON","13","1,174","1,440",82,"111"
"12565 - PHILMONT","20","305","392",78,"106"
"12567 - PINE PLAINS","8","440","808",55,"74"
"12571 - RED HOOK","29","3,073","3,735",82,"112"
"12583 - TIVOLI","12","474","1,078",44,"60"
"12801 - GLENS FALLS","226","5,066","6,674",76,"104"
"12803 - SOUTH GLENS FALLS","101","2,487","3,583",69,"95"
"12804 - QUEENSBURY","393","8,359","10,582",79,"108"
"12808 - ADIRONDACK","11","170","186",91,"125"
"12809 - ARGYLE","68","1,190","1,449",82,"112"
"12810 - ATHOL","14","239","342",70,"95"
"12812 - BLUE MOUNTAIN LAKE","5","78","100",78,"106"
"12814 - BOLTON LANDING","31","477","644",74,"101"
"12815 - BRANT LAKE","17","306","348",88,"120"
"12816 - CAMBRIDGE","72","1,183","1,627",73,"99"
"12817 - CHESTERTOWN","47","879","1,053",84,"114"
"12819 - CLEMONS","12","156","181",86,"118"
"12821 - COMSTOCK","6","112","166",68,"92"
"12822 - CORINTH","101","2,299","2,973",77,"106"
"12823 - COSSAYUNA","3","53","53",100,"137"
"12824 - DIAMOND POINT","17","345","474",73,"99"
"12827 - FORT ANN","88","1,562","2,160",72,"99"
"12828 - FORT EDWARD","128","2,651","3,715",71,"97"
"12831 - GANSEVOORT","213","5,333","7,109",75,"102"
"12832 - GRANVILLE","100","1,898","2,437",78,"106"
"12833 - GREENFIELD CENTER","67","1,465","1,985",74,"101"
"12834 - GREENWICH","102","1,716","2,296",75,"102"
"12835 - HADLEY","48","928","1,151",81,"110"
"12836 - HAGUE","10","156","290",54,"73"
"12837 - HAMPTON","20","336","408",82,"112"
"12838 - HARTFORD","13","237","287",83,"113"
"12839 - HUDSON FALLS","180","3,598","5,155",70,"95"
"12842 - INDIAN LAKE","27","397","488",81,"111"
"12843 - JOHNSBURG","11","177","325",55,"74"
"12844 - KATTSKILL BAY","9","123","132",93,"127"
